AREA,INT_SQFT,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,N_ROOM,PARK_FACIL,BUILDTYPE,QS_ROOMS,QS_BATHROOM,QS_BEDROOM,QS_OVERALL,REG_FEE,COMMIS,SALES_PRICE,SALE_YEAR,SALE_MONTH,BUILD_YEAR,BUILD_AGE
0,730.0,185.0,1.0,1.0,2.0,1,1,2.7,4.6,4.9,4.18,265449.0,53090.0,8848285.0,2011,8,1972,39
5,1806.0,138.0,2.0,1.0,5.0,0,1,4.1,5.0,3.0,3.83,430852.0,113382.0,11338200.0,2013,8,1978,35
1,1981.0,173.0,2.0,1.0,5.0,0,1,2.0,3.1,3.2,2.755,373300.0,218831.0,12872430.0,2009,4,2000,9
0,868.0,15.0,1.0,1.0,3.0,0,2,2.3,2.1,2.0,2.11,325514.0,72336.0,9042050.0,2011,8,2001,10
5,1721.0,117.0,1.0,1.0,4.0,1,2,2.0,2.8,2.9,2.605,416483.0,223116.0,14874380.0,2012,3,1992,20
7,1755.0,16.0,2.0,1.0,4.0,1,2,4.8,4.5,4.5,4.58,306671.0,173780.0,10222380.0,2006,4,1987,19
1,1709.0,130.0,1.0,1.0,4.0,0,2,4.8,3.2,4.3,4.2,452501.0,90500.0,12928590.0,2009,11,2003,6
3,2114.0,46.0,3.0,2.0,5.0,1,0,2.7,3.0,3.9,3.27,632334.0,281037.0,17564820.0,2010,5,1989,21
4,1226.0,180.0,1.0,1.0,3.0,0,1,4.0,3.7,4.7,4.19,154109.0,114339.0,4971250.0,2010,5,1983,27
7,1648.0,111.0,2.0,1.0,4.0,1,2,4.3,2.9,2.0,2.98,275120.0,82536.0,9170660.0,2011,1,1998,13
2,856.0,36.0,1.0,1.0,3.0,1,2,2.1,3.6,3.5,3.12,332269.0,103834.0,10383420.0,2011,11,1985,26
0,904.0,52.0,1.0,1.0,3.0,0,0,3.8,3.2,2.6,3.08,348042.0,23203.0,11601400.0,2009,1,1969,40
2,1198.0,105.0,1.0,1.0,3.0,0,2,3.9,3.4,4.4,3.85,255727.0,98991.0,8249260.0,2012,12,1976,36
4,931.0,16.0,1.0,1.0,3.0,0,0,4.0,4.2,2.4,3.42,291669.0,166668.0,6944500.0,2011,10,1993,18
4,1290.0,86.0,1.0,1.0,3.0,1,1,3.1,2.1,4.1,3.2,364015.0,92940.0,7745000.0,2009,8,1961,48
4,507.0,49.0,1.0,1.0,2.0,1,1,2.6,4.6,4.6,4.0,252032.0,74464.0,5728000.0,2010,3,1964,46
3,2492.0,113.0,4.0,2.0,6.0,0,0,4.3,4.6,3.8,4.19,917550.0,224706.0,18725520.0,2009,12,1993,16
4,851.0,105.0,1.0,1.0,2.0,0,1,4.0,3.8,2.5,3.34,167896.0,39295.0,3572250.0,2011,9,1982,29
5,1882.0,189.0,2.0,1.0,5.0,1,2,3.9,4.5,4.7,3.5032537884152384,433393.0,272877.0,16051580.0,2006,11,1985,21
1,1710.0,15.0,1.0,1.0,4.0,1,0,2.7,4.0,2.2,2.825,808639.0,161728.0,20215970.0,2009,11,1998,11
4,1412.0,28.0,2.0,2.0,4.0,0,1,4.1,2.9,3.1,3.34,251370.0,192717.0,8379000.0,2010,11,1982,28
0,779.0,51.0,1.0,1.0,2.0,0,1,3.6,4.4,2.4,3.16,190463.0,31744.0,5290635.0,2006,10,1997,9
5,1655.0,19.0,1.0,1.0,4.0,0,2,2.1,4.3,3.9,3.46,376468.0,238430.0,12548930.0,2014,5,1980,34
4,940.0,167.0,1.0,1.0,3.0,0,1,2.7,2.7,4.1,3.26,263599.0,64435.0,5857750.0,2010,4,1961,49
3,1667.0,126.0,2.0,1.0,4.0,1,1,4.8,2.1,5.0,4.07,364810.0,268243.0,10729700.0,2012,2,2007,5
3,1926.0,49.0,3.0,2.0,5.0,1,0,3.1,2.9,4.7,3.68,816325.0,153061.0,17006780.0,2008,8,1999,9
0,718.0,75.0,1.0,1.0,2.0,1,2,2.0,3.9,3.4,3.08,211662.0,55701.0,5570050.0,2007,10,1977,30
4,545.0,154.0,1.0,1.0,2.0,0,2,3.1,2.2,3.4,2.95,165738.0,88651.0,3854375.0,2012,1,1982,30
4,1249.0,25.0,1.0,1.0,3.0,1,2,2.8,3.7,3.5,3.35,318010.0,120328.0,8594875.0,2009,9,1973,36
5,1894.0,187.0,2.0,1.0,5.0,1,1,2.0,3.7,4.4,3.505,406478.0,162591.0,13549250.0,2013,6,1968,45
4,1469.0,200.0,2.0,2.0,4.0,0,0,4.7,2.0,2.4,2.97,284423.0,132731.0,9480750.0,2011,12,2006,5
0,916.0,32.0,1.0,1.0,3.0,1,1,3.6,3.0,3.9,3.63,228053.0,23390.0,5847520.0,2008,8,1980,28
2,934.0,11.0,1.0,1.0,3.0,1,1,3.4,4.0,3.8,3.76,310749.0,58265.0,9710900.0,2008,4,1986,22
4,1691.0,100.0,2.0,2.0,4.0,0,1,4.0,3.9,3.5,3.77,319558.0,178576.0,9398750.0,2011,5,1980,31
4,1236.0,36.0,1.0,1.0,3.0,0,0,3.3,3.3,2.0,2.78,334638.0,114481.0,8806250.0,2011,4,1972,39
5,1577.0,23.0,1.0,1.0,4.0,1,2,3.8,4.7,3.9,4.07,302183.0,193397.0,12087330.0,2007,9,1971,36
1,1915.0,13.0,2.0,1.0,5.0,1,2,4.6,2.3,4.5,3.985,354391.0,170107.0,14175620.0,2011,1,1970,41
1,1600.0,154.0,1.0,1.0,4.0,1,1,3.9,2.7,2.5,3.04,309941.0,166891.0,11920820.0,2012,9,1991,21
7,1579.0,58.0,2.0,1.0,4.0,1,0,4.6,2.3,2.3,2.88,467766.0,240565.0,13364730.0,2011,10,1987,24
0,1260.0,89.0,2.0,2.0,4.0,0,2,3.8,4.1,4.5,4.21,256150.0,34615.0,6922975.0,2008,7,1983,25
0,1021.0,176.0,1.0,1.0,3.0,0,0,3.5,4.8,2.5,3.26,361868.0,175098.0,11673175.0,2009,12,2004,5
3,2174.0,48.0,3.0,2.0,5.0,1,2,2.9,2.1,2.3,2.42,548929.0,313674.0,13069740.0,2011,10,1988,23
1,1589.0,39.0,1.0,1.213260135135135,4.0,0,2,2.1,2.5,4.5,3.16,451857.0,85486.0,12212350.0,2010,3,1966,44
0,668.0,177.0,1.0,1.0,2.0,1,0,4.9,2.9,3.5,3.8,329074.0,102836.0,10283575.0,2010,3,2005,5
7,1724.0,116.0,2.0,1.0,4.0,1,1,3.8,2.2,2.0,2.54,358259.0,152260.0,8956480.0,2006,4,1952,54
0,890.0,116.0,1.0,1.0,3.0,1,1,2.5,4.7,5.0,4.19,251557.0,43124.0,7187350.0,2011,7,1981,30
0,1218.0,51.0,2.0,2.0,4.0,0,0,4.7,3.9,3.3,3.84,377246.0,138323.0,12574850.0,2007,6,1977,30
1,1792.0,41.0,1.0,1.0,4.0,1,1,2.7,2.6,2.0,2.395,514532.0,250313.0,13906270.0,2011,2,1990,21
4,1378.0,192.0,2.0,2.0,4.0,0,2,4.2,2.8,2.6,3.14,297525.0,208268.0,9917500.0,2012,2,2003,9
4,898.0,72.0,1.0,1.0,3.0,1,0,2.4,3.1,2.1,2.49,345190.0,215744.0,8629750.0,2009,7,1980,29
1,1928.0,148.0,2.0,1.0,5.0,0,1,3.4,4.1,2.4,3.175,466682.0,105003.0,11667050.0,2011,8,2001,10
2,1233.0,24.0,2.0,1.0,4.0,0,1,2.2,2.0,4.6,2.84,245429.0,107989.0,9817150.0,2008,8,1975,33
7,1618.0,100.0,2.0,1.0,4.0,1,2,4.0,4.3,4.1,4.17,370522.0,92631.0,9263050.0,2007,7,1967,40
4,627.0,49.0,1.0,1.0,2.0,0,1,4.3,2.8,2.5,3.13,223975.0,92225.0,6587500.0,2011,8,1983,28
7,1563.0,43.0,2.0,1.0,4.0,0,1,4.7,4.5,2.6,3.98,303780.0,195987.0,9799360.0,2005,8,1977,28
4,1693.0,187.0,2.0,2.0,4.0,1,0,3.9,2.1,3.9,3.36,384045.0,166420.0,12801500.0,2009,7,2003,6
5,1522.0,85.0,1.0,1.0,4.0,0,0,4.2,3.6,3.5,3.735,506181.0,174545.0,17454510.0,2009,3,1966,43
0,1090.0,171.0,1.0,1.0,3.0,1,2,3.1,2.7,2.3,2.62,373632.0,98324.0,9832420.0,2008,7,1980,28
2,1085.0,149.0,1.0,1.0,3.0,1,0,2.8,3.8,4.6,3.5032537884152384,387815.0,100545.0,14363500.0,2014,1,2008,6
5,1687.0,73.0,1.0,1.0,4.0,0,2,4.6,4.6,2.0,3.43,411733.0,224582.0,12476770.0,2009,8,1996,13
0,692.0,62.0,1.0,1.0,2.0,1,0,4.1,4.4,5.0,4.61,394491.0,124576.0,10381355.0,2008,9,1971,37
5,1518.0,145.0,1.0,1.0,4.0,1,0,3.7,3.5,4.1,3.83,457606.0,158402.0,17600240.0,2008,7,1971,37
0,1025.0,125.0,1.0,1.0,3.0,0,0,2.5,2.5,2.7,2.6,349916.0,142153.0,10934875.0,2008,5,1983,25
3,2170.0,121.0,3.0,2.0,5.0,1,1,3.7,4.6,4.0,4.09,593864.0,284560.0,12372160.0,2010,7,2002,8
2,969.0,70.0,1.0,1.0,3.0,1,0,3.4,2.4,4.0,3.18,337463.0,146234.0,11248750.0,2011,5,1994,17
3,1546.0,129.0,2.0,1.0,4.0,0,0,2.5,4.3,2.8,3.16,441475.0,142411.0,14241140.0,2008,4,1981,27
3,1709.0,6.0,2.0,1.0,4.0,1,1,4.3,3.7,2.0,3.2,467388.0,233694.0,10160600.0,2009,10,1989,20
5,1659.0,103.0,1.0,1.0,4.0,1,2,3.8,2.3,3.8,3.425,433251.0,216625.0,13539080.0,2013,4,1995,18
2,755.0,8.0,1.0,1.0,2.0,0,0,3.8,4.4,2.7,3.71,289649.0,42911.0,10727750.0,2015,1,1982,33
0,1182.0,50.0,1.0,1.0,3.0,1,1,3.2,3.5,3.1,3.21,374948.0,39468.0,9867055.0,2007,10,1990,17
0,735.0,67.0,1.0,1.0,2.0,0,0,2.7,4.0,4.0,3.61,284361.0,132702.0,9478710.0,2012,3,1998,14
2,1089.0,0.0,1.0,1.0,3.0,1,1,2.7,2.9,3.1,2.9,235305.0,45251.0,9050200.0,2013,4,1981,32
7,1534.0,6.0,2.0,1.0,4.0,1,2,4.7,4.6,2.3,3.94,284552.0,63234.0,7904210.0,2005,1,1952,53
1,1622.0,147.0,1.0,1.0,4.0,1,1,4.4,3.7,4.2,4.145,378840.0,209015.0,13063450.0,2007,7,2002,5
3,2198.0,71.0,3.0,2.0,5.0,1,2,4.8,4.2,3.9,4.26,679249.0,122265.0,13584980.0,2008,9,1987,21
2,1293.0,34.0,2.0,1.0,4.0,0,0,3.1,2.2,3.8,2.95,419714.0,157393.0,13116050.0,2014,5,1975,39
3,1641.0,178.0,2.0,1.0,4.0,0,2,4.6,4.4,3.1,3.94,460580.0,190239.0,10012600.0,2009,10,1980,29
7,1950.0,185.0,3.0,2.0,5.0,1,2,5.0,4.2,3.4,4.16,411601.0,84741.0,12105920.0,2005,9,1964,41
4,1245.0,106.0,1.0,1.0,3.0,0,2,4.1,2.9,3.5,3.5,201653.0,113123.0,4918375.0,2011,8,1983,28
2,905.0,144.0,1.0,1.0,3.0,0,2,3.8,3.5,4.0,3.74,223393.0,77032.0,7703200.0,2009,9,1976,33
3,1496.0,135.0,2.0,1.0,4.0,0,1,3.2,3.8,2.8,3.22,265641.0,137105.0,8569080.0,2012,2,1998,14
7,1892.0,38.0,3.0,2.0,5.0,1,1,3.9,3.5,4.8,3.99,449425.0,133613.0,12146620.0,2005,11,1969,36
7,1517.0,40.0,2.0,1.0,4.0,0,0,4.0,4.6,2.9,3.94,408507.0,116716.0,11671620.0,2010,7,1999,11
0,1034.0,73.0,1.0,1.0,3.0,1,2,3.8,3.3,3.5,3.5032537884152384,277702.0,46284.0,9256740.0,2009,5,1993,16
7,1755.0,142.0,2.0,1.0,4.0,1,0,4.6,4.0,3.9,4.12,581720.0,193907.0,14915900.0,2009,6,1974,35
1,1622.0,79.0,1.0,1.0,4.0,1,1,2.2,3.3,2.2,2.475,406434.0,243860.0,13547790.0,2013,4,2006,7
2,1092.0,89.0,1.0,1.0,3.0,0,2,2.4,2.4,2.0,2.28,246391.0,57491.0,8213040.0,2013,5,2009,4
2,821.0,34.0,1.0,1.0,3.0,0,1,3.4,4.6,2.9,3.73,182600.0,65736.0,7304000.0,2014,1,2006,8
3,1694.0,72.0,2.0,1.0,4.0,0,2,4.0,2.0,3.9,3.36,353291.0,114300.0,10390900.0,2008,7,1997,11
1,1809.0,177.0,2.0,1.0,5.0,0,0,3.0,3.5,2.0,2.725,518585.0,230482.0,19206870.0,2010,3,1984,26
4,1401.0,20.0,2.0,2.0,4.0,1,2,3.8,4.3,4.0,4.03,438477.0,229204.0,9965375.0,2011,11,1997,14
4,1470.0,99.0,2.0,2.0,4.0,0,2,3.1,3.0,3.1,3.07,302694.0,172968.0,7207000.0,2011,2,1986,25
2,798.0,166.0,1.0,1.0,2.0,0,0,2.3,2.6,3.6,2.81,253975.0,145129.0,9070550.0,2013,4,1976,37
2,764.0,137.0,1.0,1.0,2.0,0,1,3.3,3.2,2.1,2.9,158766.0,90723.0,5670200.0,2008,2,2000,8
2,1135.0,50.0,1.0,1.0,3.0,0,2,4.9,2.1,3.8,3.45,296102.0,148051.0,9253200.0,2008,9,1985,23
4,939.0,74.0,1.0,1.0,3.0,0,1,4.9,3.7,3.3,3.9,214700.0,38646.0,4294000.0,2009,7,1971,38
4,1586.0,59.0,2.0,2.0,4.0,1,0,3.9,3.0,4.5,3.87,586956.0,200424.0,14316000.0,2009,8,1981,28
5,1973.0,63.0,2.0,1.0,5.0,1,0,2.6,2.9,4.9,3.71,885666.0,116535.0,23307000.0,2007,1,1972,35
2,1023.0,44.0,1.0,1.0,3.0,1,1,3.0,2.8,3.6,3.1,282319.0,38941.0,9735150.0,2007,5,1990,17
2,884.0,75.0,1.0,1.0,3.0,0,0,2.3,3.8,2.4,2.93,283410.0,45346.0,11336400.0,2010,9,2006,4
1,1640.0,113.0,1.0,1.0,4.0,0,0,2.5,3.1,3.5,3.05,495645.0,194718.0,17701600.0,2010,5,2005,5
0,622.0,60.0,1.0,1.0,2.0,0,2,2.7,4.9,3.5,3.54,216906.0,72302.0,6572900.0,2007,6,1987,20
1,1880.0,90.0,2.0,1.0,5.0,1,1,3.2,4.2,4.0,3.77,483229.0,214768.0,13423020.0,2009,11,1993,16
3,2413.0,166.0,4.0,2.0,6.0,0,2,2.5,2.4,2.9,2.63,419905.0,170587.0,13122040.0,2010,3,2001,9
5,1649.0,169.0,1.0,1.0,4.0,0,0,2.1,2.0,4.6,3.2,681808.0,113635.0,18939100.0,2009,2,1984,25
7,1729.0,144.0,2.0,1.0,4.0,1,0,3.3,4.0,4.0,3.83,396911.0,128036.0,12803570.0,2008,2,1967,41
5,1942.0,10.0,2.0,1.0,5.0,0,1,4.6,3.1,2.9,3.5032537884152384,320599.0,61654.0,12330740.0,2014,12,1977,37
2,711.0,116.0,1.0,1.0,2.0,1,2,2.6,3.2,2.8,2.9,249558.0,64402.0,8050270.0,2014,5,2002,12
2,885.0,122.0,1.0,1.0,3.0,0,1,4.6,2.7,2.1,3.09,237422.0,107919.0,7194600.0,2013,9,1981,32
3,1688.0,148.0,2.0,1.0,4.0,1,1,2.0,2.5,4.4,3.11,547810.0,285318.0,11412700.0,2009,10,1994,15
0,1236.0,108.0,2.0,2.0,4.0,0,0,3.7,3.5,4.4,4.01,481414.0,24071.0,12035355.0,2007,10,1970,37
4,926.0,98.0,1.0,1.0,3.0,0,1,4.3,4.8,2.9,3.89,288834.0,68770.0,6877000.0,2011,6,1991,20
3,1686.0,57.0,2.0,1.0,4.0,0,2,3.2,2.7,3.9,3.33,382817.0,196582.0,10346400.0,2009,4,1985,24
4,1344.0,129.0,2.0,2.0,4.0,0,0,4.6,4.2,3.3,3.96,453999.0,259428.0,10809500.0,2009,12,1959,50
3,1437.0,104.0,2.0,1.0,4.0,0,2,3.8,4.6,2.6,3.56,489629.0,102006.0,10200600.0,2012,4,1989,23
4,1430.0,17.0,2.0,2.0,4.0,1,2,4.3,3.2,3.8,3.5032537884152384,238887.0,106172.0,6635750.0,2009,10,1999,10
0,1081.0,85.0,1.0,1.0,3.0,0,1,3.5,3.1,3.2,3.27,241416.0,6190.0,6190150.0,2008,10,1978,30
4,1352.0,1.0,2.0,2.0,4.0,1,1,3.0,2.0,3.5,2.9,240768.0,123638.0,6507250.0,2010,2,1983,27
3,1986.0,109.0,3.0,2.0,5.0,0,1,4.9,3.6,4.6,4.39,476717.0,227008.0,11350400.0,2009,5,1979,30
1,1758.0,164.0,1.0,1.0,4.0,1,0,3.5,2.9,4.0,3.55,713565.0,231426.0,19285540.0,2008,12,1966,42
4,607.0,121.0,1.0,1.0,2.0,0,2,4.2,4.9,2.2,3.61,175699.0,117133.0,5856625.0,2010,9,1964,46
3,2139.0,136.0,3.0,2.0,5.0,1,2,2.3,4.1,2.4,2.88,424048.0,249440.0,12472000.0,2008,10,1987,21
3,1488.0,97.0,2.0,1.0,4.0,0,2,2.3,5.0,4.1,3.83,405211.0,202606.0,8441900.0,2010,2,1983,27
7,1645.0,96.0,2.0,1.0,4.0,0,1,3.7,4.5,2.1,3.58,250118.0,75793.0,7579320.0,2006,1,1980,26
2,950.0,177.0,1.0,1.0,3.0,1,2,3.7,2.6,3.4,3.17,273252.0,146385.0,9759000.0,2009,12,1983,26
2,928.0,90.0,1.0,1.0,3.0,1,0,2.1,3.8,3.7,3.26,409985.0,62119.0,12423800.0,2014,1,2010,4
7,1693.0,145.0,2.0,1.0,4.0,1,0,4.1,2.7,4.1,3.47,604335.0,108470.0,15495760.0,2008,12,1955,53
7,1873.0,0.0,3.0,2.0,5.0,1,2,4.8,3.4,3.9,3.9,363735.0,198401.0,11022270.0,2007,12,1986,21
0,721.0,145.0,1.0,1.0,2.0,0,2,3.4,2.8,4.6,3.88,273800.0,60844.0,7605550.0,2010,11,2000,10
4,1190.0,37.0,1.0,1.0,3.0,1,1,4.3,4.1,3.8,4.04,342613.0,127484.0,7967750.0,2011,11,1982,29
3,1593.0,9.0,2.0,1.0,4.0,0,2,3.2,3.2,4.2,3.6,402606.0,223670.0,8946800.0,2011,4,1994,17
2,786.0,181.0,1.0,1.0,2.0,1,2,4.4,4.8,4.3,4.53,249610.0,83203.0,9244820.0,2010,2,1998,12
2,1195.0,93.0,1.0,1.0,3.0,0,2,3.0,4.7,3.2,3.74,265183.0,29465.0,9821600.0,2011,12,1992,19
7,1824.0,187.0,3.0,2.0,5.0,0,1,3.9,2.3,4.1,3.5032537884152384,273570.0,76942.0,8549060.0,2009,4,1976,33
3,1906.0,81.0,3.0,2.0,5.0,1,0,3.7,4.7,3.0,3.72,792637.0,206086.0,15852740.0,2008,3,2001,7
0,656.0,20.0,1.0,1.0,2.0,0,0,4.5,2.3,2.3,2.96,280244.0,113849.0,8757635.0,2010,9,2001,9
2,727.0,84.0,1.0,1.0,2.0,0,2,3.1,4.3,2.5,3.4,218816.0,100992.0,8415990.0,2007,5,1991,16
0,931.0,37.0,1.0,1.0,3.0,1,2,2.0,3.6,4.0,3.32,367617.0,19871.0,9935595.0,2010,6,1977,33
7,1898.0,108.0,3.0,2.0,5.0,1,0,3.9,2.7,4.4,3.51,581625.0,332357.0,16617860.0,2007,1,1969,38
1,1698.0,15.0,1.0,1.0,4.0,0,1,5.0,4.9,3.1,4.215,359949.0,198593.0,12412050.0,2007,6,1967,40
5,1926.0,193.0,2.0,1.0,5.0,1,0,4.2,4.9,3.1,3.88,633655.0,203675.0,22630540.0,2007,5,1990,17
4,1481.0,144.0,2.0,2.0,4.0,1,0,3.7,4.9,2.3,3.5,485174.0,178227.0,9901500.0,2010,12,1972,38
1,1506.0,122.0,1.0,1.0,4.0,0,1,3.9,3.4,2.1,3.055,417996.0,177648.0,10449910.0,2007,9,1974,33
2,1020.0,95.0,1.0,1.0,3.0,0,1,4.2,2.4,4.1,3.45,206664.0,31794.0,7948600.0,2014,11,1990,24
2,889.0,196.0,1.0,1.0,3.0,0,2,5.0,2.4,2.0,3.06,300256.0,136480.0,9098680.0,2008,10,1987,21
2,1015.0,147.0,1.0,1.0,3.0,1,1,3.9,4.4,2.0,3.53,275314.0,66743.0,8342850.0,2012,1,1977,35
5,1682.0,78.0,1.0,1.0,4.0,0,0,3.7,3.0,3.5,3.435,690507.0,111974.0,18662350.0,2011,3,1976,35
2,869.0,39.0,1.0,1.0,3.0,0,2,4.3,4.8,3.3,4.2,220661.0,138935.0,8172630.0,2013,5,1995,18
4,1445.0,20.0,2.0,2.0,4.0,0,1,4.9,2.9,2.5,3.34,216691.0,87848.0,5856500.0,2012,3,1988,24
1,1919.0,178.0,2.0,1.0,5.0,1,1,2.4,5.0,3.3,3.41,544054.0,117633.0,14704160.0,2014,6,2001,13
0,1243.0,141.0,2.0,2.0,4.0,1,0,3.9,4.3,2.2,3.13,440895.0,26721.0,13360440.0,2011,7,1975,36
4,857.0,158.0,1.0,1.0,2.0,0,1,3.6,2.4,3.4,3.16,236556.0,59139.0,4928250.0,2010,9,1993,17
4,1055.0,174.0,1.0,1.0,3.0,1,2,3.7,2.3,4.8,3.72,226769.0,117042.0,7315125.0,2010,4,1962,48
3,1778.0,94.0,3.0,2.0,5.0,0,2,3.1,3.9,4.4,3.86,340948.0,153976.0,10998320.0,2011,7,2003,8
4,851.0,124.0,1.0,1.0,2.0,0,2,3.8,4.8,2.6,3.62,181073.0,39364.0,3936375.0,2011,6,1970,41
2,1021.0,82.0,1.0,1.0,3.0,1,2,2.0,2.5,4.6,2.98,276053.0,147228.0,9201770.0,2008,3,2004,4
3,2203.0,76.0,3.0,2.0,5.0,1,0,2.9,2.0,4.0,3.07,572520.0,339934.0,17891240.0,2010,9,1988,22
4,613.0,81.0,1.0,1.0,2.0,0,0,4.6,4.3,2.3,3.59,195491.0,66879.0,5144500.0,2010,6,1980,30
0,738.0,69.0,1.0,1.0,2.0,0,0,2.4,4.7,5.0,3.5032537884152384,324194.0,8313.0,8312670.0,2007,9,1989,18
4,1489.0,177.0,2.0,2.0,4.0,0,1,4.4,3.2,4.0,3.88,384348.0,200181.0,8007250.0,2011,1,1982,29
4,795.0,73.0,1.0,1.0,2.0,1,1,3.4,2.6,4.9,3.76,254378.0,127189.0,8479250.0,2009,10,2000,9
7,1909.0,11.0,3.0,2.0,5.0,1,2,4.6,4.1,5.0,4.5,303875.0,212712.0,10129160.0,2012,2,1979,33
2,1252.0,190.0,2.0,1.0,4.0,0,1,3.6,4.9,4.6,4.42,265502.0,47411.0,9482200.0,2011,10,1999,12
4,1077.0,144.0,1.0,1.0,3.0,0,0,3.3,4.9,4.2,4.14,305249.0,246169.0,9846750.0,2011,4,1978,33
3,1524.0,73.0,2.0,1.0,4.0,0,2,3.6,2.7,2.8,3.01,303654.0,208220.0,8675820.0,2008,4,1981,27
2,1049.0,36.0,1.0,1.0,3.0,1,1,4.2,4.9,3.4,4.24,328398.0,133412.0,10262450.0,2008,6,1997,11
7,1780.0,194.0,2.0,1.0,4.0,0,2,4.7,2.0,2.9,2.95,329500.0,130066.0,8671050.0,2008,3,1953,55
2,946.0,14.0,1.0,1.0,3.0,0,0,3.8,3.1,4.5,3.73,368463.0,111656.0,11165550.0,2008,10,1991,17
2,906.0,116.0,1.0,1.0,3.0,1,1,3.2,4.6,3.2,3.76,302874.0,28394.0,9464800.0,2008,11,1976,32
3,2344.0,71.0,4.0,2.0,6.0,0,0,4.9,3.2,4.4,4.19,622046.0,471247.0,18849880.0,2010,11,1986,24
