PRT_ID,AREA,SALE_COND,PARK_FACIL,BUILDTYPE,UTILITY_AVAIL,STREET,MZZONE
P08756,,,,,,,
P04025,,,,,,,
P03165,,,,,,,
P05424,,,,,,,
P09592,,,,,,,
P05362,,,,,,,
P10021,,,,,,,
P07110,,,,,,,
P05242,,,,,,,
P02239,,,,,,,
P09715,,,,,,,
P00101,,,,,,,
P06255,,,,,,,
P05766,,,,,,,
P07353,,,,,,,
P03604,,,,,,,
P05276,,,,,,,
P05132,,,,,,,
P03202,,,,,,,
P01445,,,,,,,
P01234,,,,,,,
P01041,,,,,,,
P01856,,,,,,,
P07376,,,,,,,
P01590,,,,,,,
P00828,,,,,,,
P04816,,,,,,,
P02793,,,,,,,
P02513,,,,,,,
P06539,,,,,,,
P00192,,,,,,,
P06536,,,,,,,
P05263,,,,,,,
P01649,,,,,,,
P06337,,,,,,,
P05058,,,,,,,
P00491,,,,,,,
P02377,,,,,,,
P05680,,,,,,,
P00948,,,,,,,
P09993,,,,,,,
P05170,,,,,,,
P04098,,,,,,,
P06577,,,,,,,
P08451,,,,,,,
P08558,,,,,,,
P09070,,,,,,,
P06910,,,,,,,
P05284,,,,,,,
P00185,,,,,,,
P03738,,,,,,,
P02661,,,,,,,
P05136,,,,,,,
P07448,,,,,,,
P05052,,,,,,,
P02210,,,,,,,
P03752,,,,,,,
P05633,,,,,,,
P04334,,,,,,,
P05185,,,,,,,
P00081,,,,,,,
P03411,,,,,,,
P01606,,,,,,,
P08281,,,,,,,
P06036,,,,,,,
P05275,,,,,,,
P02857,,,,,,,
P06012,,,,,,,
P07117,,,,,,,
P07022,,,,,,,
P00461,,,,,,,
P06106,,,,,,,
P04352,,,,,,,
P06551,,,,,,,
P02567,,,,,,,
P08405,,,,,,,
P04651,,,,,,,
P02159,,,,,,,
P10015,,,,,,,
P02378,,,,,,,
P00388,,,,,,,
P05569,,,,,,,
P00593,,,,,,,
P08730,,,,,,,
P02764,,,,,,,
P04636,,,,,,,
P03332,,,,,,,
P08983,,,,,,,
P04948,,,,,,,
P02638,,,,,,,
P03660,,,,,,,
P04028,,,,,,,
P07267,,,,,,,
P02664,,,,,,,
P04999,,,,,,,
P03418,,,,,,,
P09101,,,,,,,
P09365,,,,,,,
P05010,,,,,,,
P03151,,,,,,,
P00176,,,,,,,
P04894,,,,,,,
P06623,,,,,,,
P07975,,,,,,,
P04968,,,,,,,
P00659,,,,,,,
P01096,,,,,,,
P05624,,,,,,,
P09541,,,,,,,
P04082,,,,,,,
P05833,,,,,,,
P07553,,,,,,,
P04388,,,,,,,
P07716,,,,,,,
P04319,,,,,,,
P02066,,,,,,,
P06984,,,,,,,
P03032,,,,,,,
P04046,,,,,,,
P00587,,,,,,,
P07024,,,,,,,
P09340,,,,,,,
P06676,,,,,,,
P09885,,,,,,,
P08784,,,,,,,
P00220,,,,,,,
P07629,,,,,,,
P00364,,,,,,,
P09512,,,,,,,
P01176,,,,,,,
P04870,,,,,,,
P01407,,,,,,,
P03929,,,,,,,
P06804,,,,,,,
P03597,,,,,,,
P09188,,,,,,,
P08865,,,,,,,
P06234,,,,,,,
P04509,,,,,,,
P08121,,,,,,,
P06343,,,,,,,
P09116,,,,,,,
P07152,,,,,,,
P04113,,,,,,,
P07613,,,,,,,
P04259,,,,,,,
P02968,,,,,,,
P04818,,,,,,,
P08177,,,,,,,
P02853,,,,,,,
P03949,,,,,,,
P06926,,,,,,,
P03796,,,,,,,
P09433,,,,,,,
P06571,,,,,,,
P01914,,,,,,,
P07239,,,,,,,
P09828,,,,,,,
P08610,,,,,,,
P01092,,,,,,,
P06144,,,,,,,
P01789,,,,,,,
P00516,,,,,,,
P08553,,,,,,,
P09192,,,,,,,
P05772,,,,,,,
P03037,,,,,,,
P08570,,,,,,,
P00585,,,,,,,
P06816,,,,,,,
P01401,,,,,,,
P00580,,,,,,,
P01559,,,,,,,
P01454,,,,,,,
P05431,,,,,,,
P00568,,,,,,,
P05957,,,,,,,
P05131,,,,,,,
P07833,,,,,,,
P08427,,,,,,,
P00977,,,,,,,
P05627,,,,,,,
P08108,,,,,,,
P03018,,,,,,,
P09387,,,,,,,
P00360,,,,,,,
P09871,,,,,,,
P09699,,,,,,,
P07576,,,,,,,
P02097,,,,,,,
P00394,,,,,,,
P02138,,,,,,,
P08330,,,,,,,
P06873,,,,,,,
P04869,,,,,,,
P05739,,,,,,,
P04683,,,,,,,
P09698,,,,,,,
P06482,,,,,,,
P06822,,,,,,,
P05157,,,,,,,
P05050,,,,,,,
P06899,,,,,,,
P09473,,,,,,,
P08348,,,,,,,
P02506,,,,,,,
P01480,,,,,,,
P02935,,,,,,,
P02749,,,,,,,
P07350,,,,,,,
P02512,,,,,,,
P01768,,,,,,,
P09798,,,,,,,
P04247,,,,,,,
P00535,,,,,,,
P00019,,,,,,,
P01862,,,,,,,
P04422,,,,,,,
P03232,,,,,,,
P07281,,,,,,,
P09970,,,,,,,
P08210,,,,,,,
P09643,,,,,,,
P02222,,,,,,,
P08383,,,,,,,
P04070,,,,,,,
P04398,,,,,,,
P05380,,,,,,,
P03633,,,,,,,
P08340,,,,,,,
P07171,,,,,,,
P00929,,,,,,,
P04617,,,,,,,
P08966,,,,,,,
P01270,,,,,,,
P07501,,,,,,,
P07768,,,,,,,
P07480,,,,,,,
P01172,,,,,,,
P02797,,,,,,,
P07806,,,,,,,
P00582,,,,,,,
P04006,,,,,,,
P08954,,,,,,,
P05948,,,,,,,
P04363,,,,,,,
P07404,,,,,,,
P01451,,,,,,,
P05237,,,,,,,
P09484,,,,,,,
P04385,,,,,,,
P01787,,,,,,,
P08025,,,,,,,
P08469,,,,,,,
P09549,,,,,,,
P06019,,,,,,,
P06227,,,,,,,
P04033,,,,,,,
P00637,,,,,,,
P02360,,,,,,,
P05408,,,,,,,
P09615,,,,,,,
P03142,,,,,,,
P05123,,,,,,,
P05078,,,,,,,
P05751,,,,,,,
P06630,,,,,,,
P04678,,,,,,,
P00695,,,,,,,
P07765,,,,,,,
P06332,,,,,,,
P08581,,,,,,,
P03690,,,,,,,
P01615,,,,,,,
P03901,,,,,,,
P06836,,,,,,,
P09434,,,,,,,
P06532,,,,,,,
P08969,,,,,,,
P08170,,,,,,,
P01900,,,,,,,
P02264,,,,,,,
P01477,,,,,,,
P05586,,,,,,,
P08069,,,,,,,
P00986,,,,,,,
P09507,,,,,,,
P09122,,,,,,,
P07332,,,,,,,
P07120,,,,,,,
P02437,,,,,,,
P03243,,,,,,,
P06974,,,,,,,
P01680,,,,,,,
P03792,,,,,,,
P06957,,,,,,,
P06634,,,,,,,
P00351,,,,,,,
P01123,,,,,,,
P04899,,,,,,,
P04994,,,,,,,
P00261,,,,,,,
P09603,,,,,,,
P01790,,,,,,,
P08560,,,,,,,
P09309,,,,,,,
P01298,,,,,,,
P00180,,,,,,,
P01166,,,,,,,
P08516,,,,,,,
P06919,,,,,,,
P01728,,,,,,,
P00281,,,,,,,
P09014,,,,,,,
P03608,,,,,,,
P00266,,,,,,,
P06606,,,,,,,
P06636,,,,,,,
P05657,,,,,,,
P06762,,,,,,,
P05501,,,,,,,
P01791,,,,,,,
P04147,,,,,,,
P05149,,,,,,,
P08152,,,,,,,
P01345,,,,,,,
P01998,,,,,,,
P05542,,,,,,,
P06518,,,,,,,
P03500,,,,,,,
P08226,,,,,,,
P03950,,,,,,,
P04839,,,,,,,
P00722,,,,,,,
P08047,,,,,,,
P00347,,,,,,,
P04625,,,,,,,
P03114,,,,,,,
P09392,,,,,,,
P03282,,,,,,,
P02219,,,,,,,
P04652,,,,,,,
P10016,,,,,,,
P04574,,,,,,,
P01911,,,,,,,
P04130,,,,,,,
P01846,,,,,,,
P07527,,,,,,,
P03836,,,,,,,
P00935,,,,,,,
P06912,,,,,,,
P00405,,,,,,,
P00745,,,,,,,
P04846,,,,,,,
P03934,,,,,,,
P09903,,,,,,,
P09299,,,,,,,
P06579,,,,,,,
P08140,,,,,,,
P04432,,,,,,,
P00110,,,,,,,
P02720,,,,,,,
P02135,,,,,,,
P09818,,,,,,,
P08888,,,,,,,
P03609,,,,,,,
P06990,,,,,,,
P03240,,,,,,,
P01501,,,,,,,
P04510,,,,,,,
P08054,,,,,,,
P00983,,,,,,,
P02798,,,,,,,
P01496,,,,,,,
P06492,,,,,,,
P02294,,,,,,,
P07391,,,,,,,
P01190,,,,,,,
P08841,,,,,,,
P09423,,,,,,,
P03270,,,,,,,
P02737,,,,,,,
P01455,,,,,,,
P03663,,,,,,,
P09663,,,,,,,
P09262,,,,,,,
P03248,,,,,,,
P02103,,,,,,,
P07973,,,,,,,
P01642,,,,,,,
P01904,,,,,,,
P06643,,,,,,,
P07495,,,,,,,
P02240,,,,,,,
P05697,,,,,,,
P00894,,,,,,,
P08312,,,,,,,
P06459,,,,,,,
P07897,,,,,,,
P09354,,,,,,,
P04244,,,,,,,
P07784,,,,,,,
P08326,,,,,,,
P03429,,,,,,,
P01162,,,,,,,
P00818,,,,,,,
P01897,,,,,,,
P01685,,,,,,,
P09756,,,,,,,
P08273,,,,,,,
P09879,,,,,,,
P04749,,,,,,,
P02966,,,,,,,
P02973,,,,,,,
P06478,,,,,,,
P03448,,,,,,,
P05342,,,,,,,
P05064,,,,,,,
P00649,,,,,,,
P00226,,,,,,,
P04649,,,,,,,
P01209,,,,,,,
P04518,,,,,,,
P06599,,,,,,,
P06369,,,,,,,
P01922,,,,,,,
P02636,,,,,,,
P05798,,,,,,,
P09534,,,,,,,
P00794,,,,,,,
P02238,,,,,,,
P09804,,,,,,,
P08028,,,,,,,
P06187,,,,,,,
P00412,,,,,,,
P08090,,,,,,,
P09649,,,,,,,
P01795,,,,,,,
P06266,,,,,,,
P03264,,,,,,,
P04297,,,,,,,
P02528,,,,,,,
P03724,,,,,,,
P03399,,,,,,,
P06847,,,,,,,
P00233,,,,,,,
P08554,,,,,,,
P04935,,,,,,,
P06900,,,,,,,
P03180,,,,,,,
P08707,,,,,,,
P04733,,,,,,,
P06236,,,,,,,
P09917,,,,,,,
P01523,,,,,,,
P00213,,,,,,,
P09213,,,,,,,
P03141,,,,,,,
P06810,,,,,,,
P05973,,,,,,,
P08564,,,,,,,
P04186,,,,,,,
P01692,,,,,,,
P03529,,,,,,,
P05819,,,,,,,
P01093,,,,,,,
P07580,,,,,,,
P05723,,,,,,,
P04389,,,,,,,
P03062,,,,,,,
P03678,,,,,,,
P01694,,,,,,,
P02568,,,,,,,
P07023,,,,,,,
P08593,,,,,,,
P04290,,,,,,,
P05709,,,,,,,
P07575,,,,,,,
P07988,,,,,,,
P03542,,,,,,,
P08080,,,,,,,
P04024,,,,,,,
P06953,,,,,,,
P04836,,,,,,,
P08875,,,,,,,
P00591,,,,,,,
P05392,,,,,,,
P04324,,,,,,,
P03831,,,,,,,
P06758,,,,,,,
P00987,,,,,,,
P06469,,,,,,,
P05909,,,,,,,
